model_id,provider,task_id,mode,sample_index,individual_valid,family_valid,validations_match,individual_passed_rule_count,family_passed_rule_count,individual_error_count,family_error_count,warning_count,individual_errors,family_errors,warnings
small_qwen25_coder_1_5b,ollama,tritonbench_t_001,baseline,1,False,False,True,6,5,3,3,4,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker | Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate contains TODO/pass marker
small_qwen25_coder_1_5b,ollama,tritonbench_t_002,baseline,1,False,False,True,8,4,1,5,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_003,baseline,1,False,False,True,8,6,1,2,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_004,baseline,1,False,False,True,6,4,3,4,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_005,baseline,1,False,False,True,8,4,1,5,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_006,baseline,1,False,False,True,6,5,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_007,baseline,1,False,False,True,7,4,2,5,0,"Missing required term: import triton.language as tl | Missing semantic evidence; expected one of: tl.load, tl.store, torch.",Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_008,baseline,1,False,False,True,6,4,3,3,2,Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
small_qwen25_coder_1_5b,ollama,tritonbench_t_009,baseline,1,False,False,True,8,4,1,5,0,Missing required term: import triton.language as tl,Missing family evidence; expected one of: tl.program_id | Missing family evidence; expected one of: tl.arange | Missing family evidence; expected one of: mask | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store,
small_qwen25_coder_1_5b,ollama,tritonbench_t_010,baseline,1,False,False,True,5,3,4,5,2,Unbalanced brackets | Missing required term: import triton | Missing required term: import triton.language as tl | Missing required term: @triton.jit,"Unbalanced brackets | Missing family evidence; expected one of: @triton.jit | Missing family evidence; expected one of: tl.load | Missing family evidence; expected one of: tl.store | Missing family evidence; expected one of: gelu, relu, tanh, softmax, log_softmax, logsumexp, dropout",Candidate may be a PyTorch fallback instead of a Triton implementation | Candidate may be a PyTorch fallback instead of a Triton implementation
